         9x3.9SFR                 (9x39SFR.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 12/12/2023                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
        3.72      0.2181      0.4029      0.0335      0.0182       0.001       0.022       0.028       0.515       0.002       0.125      24.716        0.07      19373.    0.2699  
        3.97      0.2327      0.4150      0.0315      0.0177       0.001       0.021       0.026       0.501       0.002       0.117      23.868        0.07      19386.    0.2527  
        4.21      0.2472      0.4245      0.0294      0.0172       0.001       0.021       0.025       0.486       0.002       0.110      22.977        0.07      19400.    0.2351  
        4.46      0.2618      0.4310      0.0273      0.0166       0.001       0.020       0.023       0.470       0.002       0.102      22.036        0.07      19414.    0.2171  
        4.71      0.2763      0.4343      0.0251      0.0160       0.001       0.019       0.021       0.452       0.002       0.093      21.037        0.07      19429.    0.1986  
        4.96      0.2908      0.4339      0.0228      0.0153       0.001       0.018       0.019       0.433       0.002       0.085      19.966        0.07      19444.    0.1798  
        5.21      0.3054      0.4292      0.0205      0.0146       0.001       0.017       0.017       0.413       0.002       0.076      18.808        0.07      19460.    0.1605  
        5.45      0.3199      0.4193      0.0181      0.0138       0.001       0.017       0.015       0.392       0.002       0.067      17.540        0.07      19476.    0.1408  
        5.70      0.3345      0.4032      0.0157      0.0130       0.000       0.016       0.013       0.369       0.002       0.058      16.134        0.07      19493.    0.1205  
        5.95      0.3490      0.3794      0.0132      0.0122       0.000       0.015       0.011       0.345       0.002       0.049      14.548        0.07      19511.    0.0998  
        6.20      0.3635      0.3457      0.0107      0.0113       0.000       0.014       0.009       0.320       0.002       0.040      12.727        0.07      19529.    0.0786  
        6.44      0.3781      0.2991      0.0082      0.0103       0.000       0.012       0.007       0.293       0.001       0.030      10.585        0.07      19547.    0.0571  
        6.69      0.3926      0.2346      0.0056      0.0093       0.000       0.011       0.005       0.265       0.001       0.021       7.996        0.07      19567.    0.0356  
        6.94      0.4072      0.1447      0.0030      0.0083       0.000       0.010       0.002       0.236       0.001       0.011       4.756        0.07      19587.    0.0154  
        7.19      0.4217      0.0162      0.0003      0.0072       0.000       0.009       0.000       0.205       0.001       0.001       0.515        0.07      19607.    0.0005  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0538      0.0198       0.003       0.053       0.101       1.896       0.006       0.451      24.232        0.11      28853.    0.5029  
        0.37      0.0146      0.0390      0.0530      0.0198       0.003       0.053       0.100       1.898       0.006       0.444      23.831        0.11      28862.    0.4906  
        0.75      0.0292      0.0766      0.0521      0.0198       0.003       0.053       0.098       1.898       0.006       0.436      23.419        0.11      28871.    0.4780  
        1.12      0.0438      0.1128      0.0511      0.0198       0.003       0.053       0.096       1.897       0.006       0.428      22.998        0.11      28882.    0.4651  
        1.49      0.0583      0.1476      0.0501      0.0198       0.003       0.053       0.094       1.894       0.006       0.419      22.569        0.11      28893.    0.4518  
        1.86      0.0729      0.1809      0.0490      0.0198       0.003       0.053       0.092       1.890       0.006       0.410      22.130        0.11      28904.    0.4381  
        2.24      0.0875      0.2127      0.0478      0.0197       0.003       0.053       0.090       1.882       0.006       0.400      21.683        0.11      28917.    0.4241  
        2.61      0.1021      0.2429      0.0466      0.0196       0.003       0.053       0.088       1.872       0.006       0.390      21.228        0.11      28930.    0.4097  
        2.98      0.1167      0.2715      0.0452      0.0194       0.002       0.052       0.085       1.860       0.006       0.379      20.764        0.11      28943.    0.3950  
        3.36      0.1313      0.2985      0.0438      0.0193       0.002       0.052       0.082       1.844       0.006       0.367      20.290        0.11      28958.    0.3799  
        3.73      0.1458      0.3238      0.0423      0.0191       0.002       0.051       0.080       1.824       0.006       0.354      19.806        0.11      28973.    0.3645  
        4.10      0.1604      0.3472      0.0408      0.0188       0.002       0.051       0.077       1.801       0.006       0.341      19.312        0.11      28989.    0.3487  
        4.47      0.1750      0.3689      0.0391      0.0185       0.002       0.050       0.074       1.774       0.006       0.327      18.804        0.11      29005.    0.3325  
        4.85      0.1896      0.3885      0.0373      0.0182       0.002       0.049       0.070       1.743       0.006       0.312      18.283        0.11      29023.    0.3159  
        5.22      0.2042      0.4061      0.0355      0.0178       0.002       0.048       0.067       1.707       0.005       0.297      17.744        0.11      29041.    0.2989  
        5.59      0.2188      0.4214      0.0335      0.0174       0.002       0.047       0.063       1.666       0.005       0.281      17.186        0.11      29060.    0.2815  
        5.97      0.2333      0.4343      0.0315      0.0169       0.002       0.046       0.059       1.621       0.005       0.264      16.604        0.11      29080.    0.2637  
        6.34      0.2479      0.4444      0.0294      0.0164       0.002       0.044       0.055       1.570       0.005       0.246      15.993        0.11      29101.    0.2454  
        6.71      0.2625      0.4517      0.0273      0.0158       0.002       0.043       0.051       1.516       0.005       0.228      15.351        0.11      29122.    0.2267  
        7.08      0.2771      0.4556      0.0250      0.0152       0.002       0.041       0.047       1.457       0.005       0.210      14.669        0.11      29144.    0.2076  
        7.46      0.2917      0.4557      0.0228      0.0146       0.002       0.039       0.043       1.394       0.004       0.190      13.939        0.11      29167.    0.1881  
        7.83      0.3063      0.4514      0.0204      0.0139       0.002       0.037       0.038       1.326       0.004       0.171      13.149        0.11      29191.    0.1681  
        8.20      0.3208      0.4418      0.0180      0.0131       0.002       0.035       0.034       1.254       0.004       0.151      12.284        0.11      29216.    0.1476  
        8.58      0.3354      0.4257      0.0156      0.0123       0.002       0.033       0.029       1.177       0.004       0.131      11.322        0.11      29242.    0.1265  
        8.95      0.3500      0.4014      0.0131      0.0115       0.001       0.031       0.025       1.096       0.003       0.110      10.232        0.11      29268.    0.1049  
        9.32      0.3646      0.3667      0.0106      0.0106       0.001       0.028       0.020       1.010       0.003       0.089       8.973        0.11      29295.    0.0827  
        9.69      0.3792      0.3178      0.0081      0.0096       0.001       0.026       0.015       0.920       0.003       0.067       7.478        0.11      29323.    0.0600  
       10.07      0.3938      0.2492      0.0055      0.0086       0.001       0.023       0.010       0.824       0.003       0.046       5.646        0.11      29352.    0.0373  
       10.44      0.4083      0.1515      0.0028      0.0076       0.001       0.020       0.005       0.724       0.002       0.024       3.310        0.11      29382.    0.0157  
       10.81      0.4229      0.0079      0.0001      0.0065       0.001       0.017       0.000       0.619       0.002       0.001       0.166        0.11      29413.    0.0002  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0539      0.0193       0.006       0.092       0.180       4.368       0.010       0.802      18.732        0.14      38470.    0.5187  
        0.50      0.0146      0.0402      0.0531      0.0193       0.006       0.092       0.178       4.374       0.010       0.790      18.417        0.14      38482.    0.5060  
        1.00      0.0292      0.0790      0.0522      0.0193       0.006       0.092       0.175       4.376       0.010       0.776      18.093        0.14      38495.    0.4928  
        1.49      0.0438      0.1163      0.0512      0.0193       0.006       0.092       0.171       4.375       0.010       0.762      17.763        0.14      38509.    0.4793  
        1.99      0.0584      0.1521      0.0502      0.0193       0.006       0.092       0.168       4.369       0.010       0.747      17.427        0.14      38523.    0.4655  
        2.49      0.0730      0.1864      0.0491      0.0192       0.006       0.092       0.164       4.359       0.010       0.730      17.084        0.14      38539.    0.4513  
        2.99      0.0876      0.2191      0.0479      0.0192       0.006       0.092       0.160       4.343       0.010       0.713      16.736        0.14      38555.    0.4368  
        3.48      0.1022      0.2502      0.0466      0.0191       0.006       0.091       0.156       4.321       0.010       0.694      16.381        0.14      38573.    0.4219  
        3.98      0.1168      0.2797      0.0453      0.0189       0.006       0.091       0.152       4.292       0.010       0.674      16.020        0.14      38591.    0.4067  
        4.48      0.1314      0.3074      0.0439      0.0188       0.006       0.090       0.147       4.256       0.010       0.653      15.653        0.14      38610.    0.3911  
        4.98      0.1460      0.3334      0.0424      0.0186       0.006       0.089       0.142       4.211       0.010       0.631      15.279        0.14      38631.    0.3752  
        5.48      0.1606      0.3576      0.0408      0.0183       0.006       0.088       0.137       4.158       0.010       0.607      14.897        0.14      38652.    0.3589  
        5.97      0.1752      0.3799      0.0391      0.0181       0.005       0.087       0.131       4.095       0.010       0.582      14.506        0.14      38674.    0.3422  
        6.47      0.1898      0.4002      0.0374      0.0177       0.005       0.085       0.125       4.021       0.010       0.556      14.105        0.14      38698.    0.3252  
        6.97      0.2044      0.4183      0.0355      0.0174       0.005       0.083       0.119       3.937       0.009       0.529      13.692        0.14      38722.    0.3078  
        7.47      0.2190      0.4342      0.0336      0.0169       0.005       0.081       0.112       3.842       0.009       0.500      13.265        0.14      38747.    0.2899  
        7.96      0.2336      0.4477      0.0316      0.0165       0.005       0.079       0.106       3.735       0.009       0.470      12.821        0.14      38774.    0.2716  
        8.46      0.2482      0.4584      0.0295      0.0160       0.005       0.076       0.099       3.617       0.009       0.438      12.356        0.14      38801.    0.2529  
        8.96      0.2628      0.4662      0.0273      0.0154       0.005       0.074       0.091       3.489       0.008       0.406      11.867        0.14      38830.    0.2338  
        9.46      0.2774      0.4706      0.0251      0.0148       0.004       0.071       0.084       3.350       0.008       0.373      11.350        0.14      38860.    0.2142  
        9.96      0.2920      0.4712      0.0228      0.0141       0.004       0.068       0.076       3.200       0.008       0.339      10.796        0.14      38891.    0.1943  
       10.45      0.3066      0.4673      0.0204      0.0134       0.004       0.064       0.068       3.040       0.007       0.304      10.196        0.14      38922.    0.1738  
       10.95      0.3212      0.4580      0.0180      0.0127       0.004       0.061       0.060       2.870       0.007       0.268       9.540        0.14      38956.    0.1528  
       11.45      0.3358      0.4421      0.0156      0.0119       0.004       0.057       0.052       2.688       0.006       0.232       8.808        0.14      38990.    0.1312  
       11.95      0.3504      0.4179      0.0131      0.0110       0.003       0.053       0.044       2.496       0.006       0.195       7.978        0.14      39025.    0.1090  
       12.44      0.3650      0.3827      0.0106      0.0101       0.003       0.048       0.035       2.292       0.005       0.158       7.014        0.14      39061.    0.0861  
       12.94      0.3796      0.3327      0.0080      0.0092       0.003       0.044       0.027       2.077       0.005       0.119       5.863        0.14      39099.    0.0626  
       13.44      0.3942      0.2616      0.0054      0.0082       0.002       0.039       0.018       1.851       0.004       0.081       4.440        0.14      39138.    0.0390  
       13.94      0.4088      0.1589      0.0028      0.0071       0.002       0.034       0.009       1.612       0.004       0.041       2.600        0.14      39178.    0.0163  
       14.44      0.4234      0.0047      0.0001      0.0060       0.002       0.029       0.000       1.361       0.003       0.001       0.075        0.14      39219.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       5000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0540      0.0189       0.011       0.141       0.282       8.357       0.016       1.256      15.326        0.18      48087.    0.5310  
        0.62      0.0146      0.0411      0.0532      0.0189       0.011       0.141       0.278       8.370       0.016       1.236      15.064        0.18      48102.    0.5178  
        1.25      0.0292      0.0808      0.0523      0.0189       0.011       0.142       0.273       8.376       0.016       1.215      14.797        0.18      48119.    0.5043  
        1.87      0.0438      0.1189      0.0513      0.0189       0.011       0.142       0.268       8.376       0.016       1.193      14.524        0.18      48136.    0.4904  
        2.49      0.0584      0.1556      0.0503      0.0189       0.011       0.141       0.263       8.367       0.016       1.169      14.246        0.18      48154.    0.4761  
        3.11      0.0731      0.1906      0.0492      0.0188       0.011       0.141       0.257       8.348       0.016       1.143      13.964        0.18      48174.    0.4615  
        3.74      0.0877      0.2240      0.0480      0.0188       0.011       0.141       0.251       8.319       0.016       1.116      13.677        0.18      48194.    0.4466  
        4.36      0.1023      0.2558      0.0467      0.0187       0.011       0.140       0.244       8.279       0.016       1.087      13.385        0.18      48216.    0.4313  
        4.98      0.1169      0.2858      0.0454      0.0186       0.011       0.139       0.237       8.224       0.016       1.056      13.089        0.18      48239.    0.4157  
        5.60      0.1315      0.3142      0.0440      0.0184       0.011       0.138       0.230       8.155       0.016       1.023      12.789        0.18      48263.    0.3998  
        6.23      0.1461      0.3407      0.0425      0.0182       0.011       0.136       0.222       8.070       0.015       0.988      12.482        0.18      48288.    0.3835  
        6.85      0.1607      0.3654      0.0409      0.0180       0.011       0.135       0.214       7.968       0.015       0.951      12.171        0.18      48315.    0.3669  
        7.47      0.1753      0.3882      0.0392      0.0177       0.011       0.133       0.205       7.846       0.015       0.912      11.852        0.18      48343.    0.3499  
        8.09      0.1900      0.4090      0.0375      0.0174       0.010       0.130       0.196       7.704       0.015       0.871      11.526        0.18      48372.    0.3325  
        8.72      0.2046      0.4277      0.0356      0.0170       0.010       0.127       0.186       7.541       0.014       0.828      11.191        0.18      48403.    0.3147  
        9.34      0.2192      0.4440      0.0336      0.0166       0.010       0.124       0.176       7.357       0.014       0.782      10.844        0.18      48434.    0.2965  
        9.96      0.2338      0.4579      0.0316      0.0161       0.010       0.121       0.165       7.150       0.014       0.735      10.485        0.18      48468.    0.2779  
       10.59      0.2484      0.4691      0.0295      0.0156       0.009       0.117       0.154       6.921       0.013       0.686      10.109        0.18      48502.    0.2588  
       11.21      0.2630      0.4773      0.0273      0.0151       0.009       0.113       0.143       6.671       0.013       0.636       9.714        0.18      48538.    0.2394  
       11.83      0.2776      0.4822      0.0251      0.0145       0.009       0.108       0.131       6.400       0.012       0.584       9.297        0.18      48575.    0.2195  
       12.45      0.2922      0.4832      0.0228      0.0138       0.008       0.103       0.119       6.109       0.012       0.530       8.851        0.18      48614.    0.1992  
       13.08      0.3068      0.4797      0.0205      0.0131       0.008       0.098       0.107       5.797       0.011       0.476       8.368        0.18      48654.    0.1784  
       13.70      0.3215      0.4708      0.0181      0.0123       0.007       0.092       0.094       5.464       0.010       0.420       7.839        0.18      48695.    0.1570  
       14.32      0.3361      0.4551      0.0156      0.0115       0.007       0.086       0.082       5.110       0.010       0.363       7.249        0.18      48738.    0.1351  
       14.94      0.3507      0.4310      0.0131      0.0107       0.006       0.080       0.069       4.734       0.009       0.305       6.579        0.18      48782.    0.1124  
       15.57      0.3653      0.3957      0.0106      0.0098       0.006       0.073       0.055       4.335       0.008       0.247       5.798        0.18      48828.    0.0890  
       16.19      0.3799      0.3450      0.0080      0.0088       0.005       0.066       0.042       3.915       0.007       0.187       4.861        0.18      48875.    0.0649  
       16.81      0.3945      0.2723      0.0054      0.0078       0.005       0.059       0.028       3.471       0.007       0.126       3.694        0.18      48923.    0.0405  
       17.43      0.4091      0.1659      0.0027      0.0068       0.004       0.051       0.014       3.003       0.006       0.064       2.170        0.18      48973.    0.0170  
       18.06      0.4237      0.0035      0.0000      0.0057       0.003       0.042       0.000       2.511       0.005       0.001       0.044        0.18      49024.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       6000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0541      0.0186       0.019       0.200       0.407      14.219       0.023       1.812      12.998        0.21      57704.    0.5409  
        0.75      0.0146      0.0419      0.0533      0.0186       0.019       0.201       0.401      14.243       0.023       1.784      12.774        0.21      57722.    0.5275  
        1.50      0.0292      0.0822      0.0524      0.0186       0.019       0.201       0.394      14.256       0.023       1.754      12.545        0.21      57742.    0.5136  
        2.24      0.0439      0.1211      0.0514      0.0186       0.019       0.201       0.387      14.258       0.023       1.722      12.312        0.21      57763.    0.4994  
        2.99      0.0585      0.1583      0.0504      0.0186       0.019       0.201       0.379      14.245       0.023       1.687      12.075        0.21      57785.    0.4848  
        3.74      0.0731      0.1939      0.0493      0.0186       0.019       0.200       0.371      14.216       0.023       1.650      11.835        0.21      57808.    0.4699  
        4.49      0.0877      0.2279      0.0481      0.0185       0.019       0.200       0.362      14.168       0.023       1.610      11.590        0.21      57833.    0.4547  
        5.23      0.1023      0.2602      0.0468      0.0184       0.019       0.199       0.353      14.100       0.022       1.568      11.342        0.21      57859.    0.4391  
        5.98      0.1170      0.2908      0.0455      0.0183       0.019       0.197       0.343      14.009       0.022       1.524      11.091        0.21      57886.    0.4232  
        6.73      0.1316      0.3196      0.0441      0.0182       0.019       0.196       0.332      13.892       0.022       1.476      10.835        0.21      57915.    0.4069  
        7.48      0.1462      0.3466      0.0426      0.0180       0.018       0.194       0.321      13.747       0.022       1.426      10.576        0.21      57946.    0.3904  
        8.22      0.1608      0.3717      0.0410      0.0177       0.018       0.191       0.309      13.572       0.022       1.372      10.312        0.21      57978.    0.3734  
        8.97      0.1754      0.3950      0.0393      0.0175       0.018       0.188       0.296      13.364       0.021       1.316      10.043        0.21      58012.    0.3562  
        9.72      0.1900      0.4161      0.0375      0.0171       0.018       0.185       0.283      13.121       0.021       1.257       9.767        0.21      58047.    0.3385  
       10.47      0.2047      0.4352      0.0357      0.0168       0.017       0.181       0.269      12.841       0.020       1.194       9.485        0.21      58083.    0.3204  
       11.21      0.2193      0.4519      0.0337      0.0164       0.017       0.176       0.254      12.524       0.020       1.129       9.193        0.21      58122.    0.3020  
       11.96      0.2339      0.4662      0.0317      0.0159       0.016       0.171       0.239      12.168       0.019       1.061       8.891        0.21      58161.    0.2831  
       12.71      0.2485      0.4778      0.0296      0.0154       0.016       0.166       0.223      11.773       0.019       0.990       8.576        0.21      58203.    0.2638  
       13.46      0.2631      0.4864      0.0274      0.0148       0.015       0.160       0.206      11.342       0.018       0.917       8.245        0.21      58246.    0.2441  
       14.20      0.2778      0.4916      0.0251      0.0142       0.015       0.153       0.189      10.875       0.017       0.842       7.895        0.22      58291.    0.2240  
       14.95      0.2924      0.4930      0.0229      0.0136       0.014       0.146       0.172      10.372       0.017       0.765       7.522        0.22      58337.    0.2034  
       15.70      0.3070      0.4899      0.0205      0.0128       0.013       0.139       0.154       9.833       0.016       0.686       7.118        0.22      58385.    0.1823  
       16.45      0.3216      0.4813      0.0181      0.0121       0.012       0.130       0.136       9.257       0.015       0.606       6.675        0.22      58435.    0.1606  
       17.19      0.3362      0.4659      0.0157      0.0113       0.012       0.122       0.118       8.644       0.014       0.524       6.181        0.22      58486.    0.1383  
       17.94      0.3509      0.4419      0.0132      0.0104       0.011       0.113       0.099       7.994       0.013       0.440       5.619        0.22      58539.    0.1153  
